Designator,Mid X,Mid Y,Rotation,Layer
C1,79.2,-69.5,90.0,top
C10,66.8,-72.0,180.0,top
C11,67.1,-75.7,180.0,top
C12,82.9,-62.2,0.0,top
C13,85.6,-64.3,0.0,top
C14,64.2,-69.8,0.0,top
C15,68.4,-80.3,0.0,top
C16,68.4,-84.8,180.0,top
C17,65.45,-73.8,180.0,top
C18,80.5,-77.5,0.0,top
C2,71.9,-69.32,90.0,top
C20,113.0,-66.0,180.0,top
C21,86.325,-76.8,0.0,top
C22,85.52,-86.5,180.0,top
C23,81.325,-81.925,90.0,top
C24,87.125,-78.3,180.0,top
C25,94.0,-90.5,90.0,top
C26,92.1,-84.15,180.0,top
C27,92.1,-82.65,180.0,top
C28,113.1825,-89.585,0.0,top
C29,113.1825,-91.555,0.0,top
C3,73.7,-81.5,270.0,top
C30,113.1825,-93.525,0.0,top
C4,78.9,-73.8,0.0,top
C5,72.7,-81.5,270.0,top
C6,80.02,-79.0,0.0,top
C7,83.2,-75.9,0.0,top
C8,77.48,-72.0,0.0,top
C9,77.9,-75.7,0.0,top
D5,117.0625,-91.0,180.0,top
P1,72.9,-62.24,180.0,top
R1,74.0,-69.29,270.0,top
R10,82.8,-83.95,0.0,top
R11,82.8,-83.25,0.0,top
R12,88.225,-76.855,270.0,top
R2,72.9,-69.29,270.0,top
R3,52.7,-68.9,90.0,top
R5,71.4625,-82.6,270.0,top
R6,78.0,-77.7,270.0,top
R8,88.0,-88.15,270.0,top
R9,90.0,-76.85,90.0,top
U1,72.2,-74.6375,90.0,top
U2,84.5,-70.0,90.0,top
U3,87.0,-82.5,270.0,top
U4,58.4,-70.0,270.0,top
Y1,68.4,-82.6,0.0,top
